,start,index_value,CMBD50
0,2020-01-01,0.7074806237331427,7074.806237331427
1,2020-01-02,0.6996346434988714,6996.346434988714
2,2020-01-03,0.7282547481859495,7282.547481859495
3,2020-01-04,0.7198470414844718,7198.470414844717
4,2020-01-05,0.7049926393842645,7049.926393842645
5,2020-01-06,0.7318680530729094,7318.680530729093
6,2020-01-07,0.7051197790311409,7051.197790311408
7,2020-01-08,0.6958802390974234,6958.802390974233
8,2020-01-09,0.7002238601978727,7002.238601978727
9,2020-01-10,0.7183468198377301,7183.468198377301
10,2020-01-11,0.7005774972012032,7005.774972012032
11,2020-01-12,0.7168566386944228,7168.566386944229
12,2020-01-13,0.7055528009960045,7055.528009960045
13,2020-01-14,0.7607062133026976,7607.062133026976
14,2020-01-15,0.7197880983834097,7197.880983834098
15,2020-01-16,0.7086312110321299,7086.312110321299
16,2020-01-17,0.7437935261114509,7437.935261114509
17,2020-01-18,0.6921943217268136,6921.943217268136
18,2020-01-19,0.6900507867499613,6900.507867499613
19,2020-01-20,0.7101109762865861,7101.109762865862
20,2020-01-21,0.713168043662344,7131.68043662344
21,2020-01-22,0.7053763439087235,7053.763439087235
22,2020-01-23,0.6754794186322929,6754.794186322929
23,2020-01-24,0.7065444771077706,7065.444771077706
24,2020-01-25,0.6949722089484318,6949.7220894843185
25,2020-01-26,0.7374847696100323,7374.8476961003225
26,2020-01-27,0.7238993695555745,7238.993695555745
27,2020-01-28,0.717749555710596,7177.49555710596
28,2020-01-29,0.70706380440985,7070.638044098499
29,2020-01-30,0.7233402113390445,7233.402113390444
30,2020-01-31,0.6961127914685709,6961.127914685709
31,2020-02-01,0.7190458425697762,7190.458425697762
32,2020-02-02,0.7100501815197495,7100.5018151974955
33,2020-02-03,0.7123648948691688,7123.648948691688
34,2020-02-04,0.7218102441043632,7218.102441043632
35,2020-02-05,0.7383738912968988,7383.738912968988
36,2020-02-06,0.7177711914271317,7177.711914271317
37,2020-02-07,0.7133510919597618,7133.510919597617
38,2020-02-08,0.6989269891021386,6989.269891021386
39,2020-02-09,0.7081470482311831,7081.470482311831
40,2020-02-10,0.7728119910414721,7728.119910414722
41,2020-02-11,0.737323197273234,7373.23197273234
42,2020-02-12,0.7293183346064958,7293.183346064958
43,2020-02-13,0.70595502352736,7059.550235273599
44,2020-02-14,0.7286807165759182,7286.807165759182
45,2020-02-15,0.6635120967975262,6635.120967975262
46,2020-02-16,0.682487118906742,6824.871189067419
47,2020-02-17,0.697175684920228,6971.756849202279
48,2020-02-18,0.7296225190508934,7296.225190508933
49,2020-02-19,0.6655577503991273,6655.577503991273
50,2020-02-20,0.7105898673863213,7105.898673863214
51,2020-02-21,0.7137501267144262,7137.501267144262
52,2020-02-22,0.6973209844420896,6973.209844420896
53,2020-02-23,0.7335860106797175,7335.860106797175
54,2020-02-24,0.6780311731545012,6780.311731545013
55,2020-02-25,0.6602130411058312,6602.130411058312
56,2020-02-26,0.6588055464097052,6588.055464097052
57,2020-02-27,0.7139348136225795,7139.348136225795
58,2020-02-28,0.6875813873671098,6875.813873671098
59,2020-02-29,0.7063167870972635,7063.167870972636
60,2020-03-01,0.6959321571259431,6959.321571259431
61,2020-03-02,0.7426318577361449,7426.31857736145
62,2020-03-03,0.7071272011753058,7071.272011753058
63,2020-03-04,0.7126522784504382,7126.522784504382
64,2020-03-05,0.7230106245469895,7230.106245469895
65,2020-03-06,0.7094377215590204,7094.377215590204
66,2020-03-07,0.6642832479435739,6642.832479435739
67,2020-03-08,0.6249027781746037,6249.027781746037
68,2020-03-09,0.7630971009929437,7630.971009929437
69,2020-03-10,0.7152738945093501,7152.738945093501
70,2020-03-11,0.6981403725993234,6981.403725993234
71,2020-03-12,0.46880929336712546,4688.092933671254
72,2020-03-13,0.7890960370922414,7890.960370922414
73,2020-03-14,0.6664266691705446,6664.266691705446
74,2020-03-15,0.7265224396985703,7265.224396985704
75,2020-03-16,0.6439591352004672,6439.591352004672
76,2020-03-17,0.7132397222790784,7132.397222790784
77,2020-03-18,0.7350055954297388,7350.055954297388
78,2020-03-19,0.8174560287354148,8174.5602873541475
79,2020-03-20,0.7003864380786177,7003.864380786176
80,2020-03-21,0.7092130074989521,7092.130074989521
81,2020-03-22,0.661192582817603,6611.925828176029
82,2020-03-23,0.7504641656937641,7504.641656937641
83,2020-03-24,0.7171481514160737,7171.481514160737
84,2020-03-25,0.6965633122904091,6965.633122904092
85,2020-03-26,0.7237407263752166,7237.407263752166
86,2020-03-27,0.6861037648695728,6861.037648695728
87,2020-03-28,0.691572063877776,6915.7206387777605
88,2020-03-29,0.6756164141500861,6756.164141500861
89,2020-03-30,0.7476123295307956,7476.123295307956
90,2020-03-31,0.7259112252063746,7259.112252063746
91,2020-04-01,0.7058088351439326,7058.088351439325
92,2020-04-02,0.7216830487623357,7216.830487623357
93,2020-04-03,0.7065560478593517,7065.560478593517
94,2020-04-04,0.7260711020047685,7260.711020047685
95,2020-04-05,0.6976039361907791,6976.039361907791
96,2020-04-06,0.7638652993668703,7638.652993668703
97,2020-04-07,0.7137459831770376,7137.459831770377
98,2020-04-08,0.7208093942982106,7208.093942982106
99,2020-04-09,0.712753477217718,7127.53477217718
100,2020-04-10,0.6538853415891803,6538.853415891803
101,2020-04-11,0.7107558496143647,7107.558496143647
102,2020-04-12,0.7103322986977381,7103.32298697738
103,2020-04-13,0.7016297824882063,7016.297824882063
104,2020-04-14,0.7095579998749892,7095.579998749892
105,2020-04-15,0.6864966544372849,6864.966544372849
106,2020-04-16,0.7537399955491947,7537.3999554919465
